Start Date,End Date,Group,Year,Month,State,Sex,COVID-19 Deaths,Total Deaths
1/1/20,4/24/21,By Total,0.0,0.0,New York City,Female,11745.0,49268.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,Male,4502.0,54812.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,Female,4285.0,51259.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,Male,921.0,5535.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,Female,730.0,4815.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,Male,11292.0,94658.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,Female,10284.0,89669.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,Male,4498.0,31767.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,Female,3745.0,28511.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,Male,1250.0,27264.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,Female,1099.0,24509.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,Male,13585.0,103454.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,Female,13118.0,100561.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,Male,1256.0,7682.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,Female,1344.0,7777.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,Male,4601.0,40279.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,Female,3941.0,35989.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,Male,1078.0,6689.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,Female,927.0,5796.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,Male,6780.0,61137.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,Female,5590.0,54565.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,Male,30552.0,180319.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,Female,22219.0,154342.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,Male,1421.0,15134.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,Female,939.0,13575.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,Male,112.0,4128.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,Female,114.0,3864.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,Male,5377.0,53804.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,Female,4993.0,50675.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,Male,2765.0,42663.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,Female,2297.0,38714.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,Male,1401.0,15463.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,Female,1249.0,13588.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,Male,4256.0,41014.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,Female,3705.0,38223.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,Male,321.0,3808.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,Female,302.0,3222.0
