,State,Mask_Mandate
0,AK,0.0
1,AL,70.9675
2,AR,69.8925
3,AZ,0.0
4,CA,78.61083333333333
5,CO,70.9675
6,CT,96.03166666666668
7,DE,92.8575
8,FL,0.0
9,GA,0.0
10,HI,97.22250000000001
11,IA,31.540833333333335
12,ID,0.0
13,IL,91.66666666666667
14,IN,68.01083333333334
15,KS,74.46249999999999
16,KY,72.58083333333333
17,LA,71.77416666666666
18,MA,90.32249999999999
19,MD,96.825
20,ME,91.66666666666667
21,MI,93.65083333333332
22,MN,68.8175
23,MO,0.0
24,MS,60.12833333333334
25,MT,71.23666666666666
26,NC,76.38916666666667
27,ND,38.05583333333333
28,NE,38.88916666666667
29,NH,36.38916666666667
30,NJ,100.0
31,NM,87.4875
32,NV,76.94416666666666
33,NY,97.22250000000001
34,OH,69.79166666666667
35,OK,0.0
36,OR,75.0
37,RI,89.78500000000001
38,SC,0.0
39,SD,0.0
40,TN,0.0
41,TX,74.46249999999999
42,UT,45.340833333333336
43,VA,84.14
44,VT,66.66666666666667
45,WA,76.38916666666667
46,WI,66.66666666666667
47,WV,73.3875
48,WY,22.849166666666665
